,0
0,7.0
1,4.0
2,23.5
3,99.0
4,18.0
5,21.0
6,5.0
7,100.0
8,13.0
9,21.0
10,18.0
11,21.0
12,79.0
13,73.0
14,1.0
15,62.0
16,45.0
17,27.0
18,18.0
19,19.0
20,20.0
21,21.0
22,10.0
23,23.0
24,28.0
25,33.0
26,39.0
27,55.0
28,28.0
29,29.0
30,8.0
31,2.0
32,66.0
33,77.0
34,91.0
35,44.0
36,36.0
37,37.0
38,38.0
39,39.0
40,18.0
41,21.0
42,75.0
43,25.0
44,61.0
45,45.0
46,18.0
47,22.0
48,75.0
49,34.0
50,35.0
51,38.0
52,18.0
53,21.0
54,54.0
55,55.0
56,17.0
57,16.0
58,18.0
59,21.0
60,60.0
61,61.0
62,18.0
63,21.0
64,10.0
65,6.0
66,45.0
67,28.0
68,1.0
69,2.0
70,0.0
71,12.0
72,66.0
73,64.0
74,18.0
75,21.0
76,15.0
77,27.0
78,78.0
79,79.0
80,100.0
81,71.0
82,30.0
83,29.0
84,18.0
85,21.0
86,86.0
87,87.0
88,48.0
89,20.0
90,18.0
91,21.0
92,33.0
93,16.0
94,67.0
95,22.0
96,18.0
97,21.0
98,98.0
99,99.0
